Year,Affirmative Response Text,Question,Question Text,% of Americans
2008,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,46
2010,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,33
2011,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,39
2012,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,39
2013,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,42
2014,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,42
2015,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,40
2016,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,49
2017,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,53
2018,Most scientists think global warming is happening,Scientific Consensus,Which comes closest to your own view?,53
2008,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",57
2010,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",48
2011,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",48
2012,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",50
2013,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",48
2014,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",51
2015,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",53
2016,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",54
2017,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",56
2018,Caused mostly by human activities,Human-caused,"Assuming global warming is happening, do you think it is…",60
2008,Yes,Happening,Do you think that global warming is happening?,71
2010,Yes,Happening,Do you think that global warming is happening?,59
2011,Yes,Happening,Do you think that global warming is happening?,62
2012,Yes,Happening,Do you think that global warming is happening?,68
2013,Yes,Happening,Do you think that global warming is happening?,63
2014,Yes,Happening,Do you think that global warming is happening?,65
2015,Yes,Happening,Do you think that global warming is happening?,65
2016,Yes,Happening,Do you think that global warming is happening?,70
2017,Yes,Happening,Do you think that global warming is happening?,71
2018,Yes,Happening,Do you think that global warming is happening?,72
